1,10000.0000,5000.0000,0.00,REBARBASECABIN
2,6013.3184,3743.8920,0.00,SNAPTIE10
3,5894.0958,4650.6010,0.00,SNAPTIE11
4,5765.5368,4481.8480,0.00,TOPRIDGE
5,5755.0652,4450.0922,0.00,TOPRIDGE
6,5726.2404,4391.6121,0.00,TOPRIDGE
7,5682.3379,4348.1219,0.00,TOPRIDGE
8,5618.3293,4283.9064,0.00,TOPRIDGEFENCE
9,7822.3696,4271.5499,0.00,SETREBAR1/4COR
10,8105.2243,4711.0671,0.00,SETREBARKNOB
11,10416.8713,4580.4660,0.00,SETREBARSECCOR
12,10456.3971,4349.3044,0.00,SETREBARSECCOR
13,9918.5251,5475.0380,0.00,SNAPTIEBASE
14,12761.9232,5674.9739,0.00,SNAPTIE
15,13040.7178,5821.6176,0.00,SNAPTIE
16,9338.5405,7023.1346,0.00,SNAPTIE
17,9209.1904,6843.8063,0.00,SNAPTIE
18,10132.9230,6644.4719,0.00,SNAPTIE
19,10066.4068,6461.4359,0.00,SNAPTIE
20,9612.6601,5144.1977,0.00,SPK W ER
21,9383.2459,5009.0159,0.00,SPK E ER
22,9117.9104,4913.8072,0.00,SPK W ER
23,8750.4888,5031.3980,0.00,SPK N KNOB
24,8858.6172,5313.2701,0.00,SPK N ER
25,8946.2683,5422.1413,0.00,SPK APRX COR
27,5207.0290,4274.5428,0.00,BCIP LS2808
28,5085.3357,4266.4440,0.00,Rock Face
29,5065.3253,4262.8324,0.00,Apprx Top Rock
30,10597.2732,4247.9461,0.00,spk
31,10694.0689,4166.2245,0.00,SPK ON FLAT
32,10643.9005,4210.6332,0.00,ROCK FACE
33,10639.0308,4207.2399,0.00,W ROCK FACE
34,10609.2726,4168.2327,0.00,SMALL ROCK
35,10941.7986,4273.6776,0.00,SPK
36,10958.5403,4276.6296,0.00,MADRONE CLUMP
40,7739.3911,4242.4592,0.00,30"Maple face
41,7740.7588,4260.1726,0.00,24"Maple face
42,7747.4687,4264.0037,0.00,CL Crk ang+Maple
43,7715.8796,4266.7085,0.00,CL Crk ang
44,7669.8580,4267.3261,0.00,PoL fence
45,7672.8755,4289.4341,0.00,Doub Maple 18"
46,7764.5990,4243.4319,0.00,CL Crk
47,7777.8346,4238.2298,0.00,36"Maple w/sucker
48,7780.1787,4225.9830,0.00,24"Maple
49,7776.4362,4207.8546,0.00,Ctr Maple cluster
50,7801.7762,4213.5471,0.00,CL Crk
51,7907.1434,4268.1989,0.00,PoL fenc
52,7738.3798,4242.1097,0.00,Ctr30"MapleGovtBT
53,7844.9001,4264.7512,0.00,Govt 1/4S24/S19
60,10789.4477,4075.2913,0.00,SPK BT SEARCH
61,10958.7879,4276.0196,0.00,CTR MADRONE BT
62,11128.1997,4250.0708,0.00,STIE
63,11557.9898,4231.5268,0.00,STIE
64,11615.4198,4233.3834,0.00,STIE
65,11749.9844,4266.6265,0.00,STIE
66,11899.4981,4282.7449,0.00,STIE
67,12057.4909,4433.7639,0.00,STIE
68,12059.3030,4512.7031,0.00,SPK
69,12108.0107,4685.7800,0.00,SPK
70,12283.6537,4709.2945,0.00,STIE RIDGE
71,12365.0983,4603.4154,0.00,SPK
72,12338.1351,4657.1387,0.00,CTR42"DFSTUMP
73,12368.5601,4611.5059,0.00,CTR48"DFTREE
74,12319.9675,4548.3847,0.00,SPK
75,12431.3737,4538.4316,0.00,TOPBLUFF
76,12384.7335,4528.3297,0.00,TOPBLUFF
77,12356.6562,4524.0961,0.00,TOPBLUFF
78,12337.0721,4517.0491,0.00,TOPBLUFF
79,12307.6968,4511.3654,0.00,TOPBLUFF
85,12763.6194,5670.2704,0.00,PT 'A'
86,12760.2271,5679.6774,0.00,PT 'B'
87,14340.0258,6583.9587,0.00,INTS NORTH
88,13807.3881,6545.6480,0.00,INTS SOUTH RD
90,10775.7463,9121.9927,0.00,spk ER
91,10553.3735,9075.8975,0.00,spk ER
92,10368.7246,9020.7790,0.00,spk ER
93,10286.3438,8892.3973,0.00,ACAP WC
94,10277.7973,8931.7193,0.00,22"DFHoFctr
95,10277.6840,8848.2079,0.00,22"DFHoFctr
96,10303.1758,8857.9052,0.00,22"DFHoFctr
97,10311.9251,8901.4623,0.00,16"DFHoFctr
98,10295.5262,9031.0937,0.00,CL Log Rd
99,10243.8947,9008.9477,0.00,CL LogRd
100,10204.4749,8973.0026,0.00,CL LogRd
101,10191.2491,8928.5921,0.00,CL LogRd
102,10184.1478,8897.4332,0.00,CL LogRd
103,10170.1960,8853.6199,0.00,CL LogRd
105,9275.4800,6581.1317,0.00,Old Oak fence post
106,8875.4199,6256.7336,0.00,Tpost E/W fence
107,8873.7127,6419.0637,0.00,Tpost E/W fence
108,8874.1196,6552.0510,0.00,Tpost E/W fence
109,8894.3771,6632.4175,0.00,Tpost N fence
110,8925.2393,6601.2436,0.00,Set Spk
111,9058.0641,6714.7080,0.00,Spk PoL for BS
112,9056.4445,6636.7757,0.00,Tpost N/S fence
113,9146.8577,6639.9636,0.00,Tpost N/S fence
114,9219.7990,6647.7331,0.00,Slight AngPt fence
115,9285.4061,6650.9501,0.00,N/S fence
116,9395.2776,6650.7502,0.00,N/S fence
117,9621.2822,6646.7803,0.00,Old post slight ang
118,9702.4616,6648.1443,0.00,Tpost N/S fence
120,10105.4479,6499.2044,0.00,dead/down Oak
121,10115.9555,6523.5681,0.00,Ctr BlOak
122,10241.9347,6555.9787,0.00,STie
123,10278.3993,6531.4981,0.00,Ctr Clump Maples
124,10285.0247,6527.0501,0.00,Ctr Clump Maples
125,10193.6711,6478.8673,0.00,Old 28" Maple
126,10153.2020,6489.5391,0.00,ctr 30"Maple
127,10155.1940,6586.9377,0.00,ctr clump 6 Oaks
130,8929.3229,5415.2848,0.00,ctr clump 4 Alders
131,8977.4741,5408.1470,0.00,ctr 30"Alder
132,9000.2271,5403.1000,0.00,dead/down 26"Alder
133,9006.1684,5333.8777,0.00,Spk
134,9038.6386,5365.1202,0.00,ctr 44"Alder
135,9039.5333,5371.0367,0.00,ctr48"Alder
136,9029.4787,5332.3551,0.00,Poss Fir location
137,9026.5818,5210.2213,0.00,Cor 4rs12
140,9153.8079,4581.5810,0.00,Spk Pasture
